"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_27895",-10.9969004866443,2.19604169573885e-17,-11.4157084815255,7.00316054358887e-20
"Cvel_32722",-11.1972091376293,4.1414254393073e-25,-11.395188107899,2.30684401037481e-26
"Cvel_9244",-11.3802163970714,7.12060212839845e-19,-9.96293482446154,4.43350719186954e-20
"Cvel_25667",-9.46392319022514,8.14852634504258e-27,-11.3758999198911,2.3156102609272e-25
"Cvel_22541",-11.3703923126391,4.61435384722636e-19,-10.5139467199518,4.08114627633531e-16
"Cvel_18801",-11.225982563757,3.61134441639189e-18,-11.3648358161476,8.10375278793214e-19
"Cvel_36006",-10.8342949878233,2.08271227289277e-16,-11.3570997078127,2.73619813902003e-19
"Cvel_13849",-11.3517005079921,3.12486663238832e-25,-7.95264557717504,5.43061508037557e-30
"Cvel_15803",-10.8890984322645,3.83413181489344e-17,-11.3440852127208,5.09281667039106e-18
"Cvel_17736",-7.99043074185474,1.17168736254004e-18,-11.3402301182184,5.0986552138446e-19
"Cvel_4729",-8.77599174614462,5.22219901637925e-14,-11.3238561578808,1.15777702875851e-19
"Cvel_28755",-9.99741988371653,6.68959629780364e-36,-11.3215272171214,7.99696246715902e-26
"Cvel_19498",-10.4743051218878,9.00296302769986e-15,-11.3187004165095,2.85452968531903e-19
"Cvel_13331",-6.69081908360533,2.57785124000848e-31,-11.3184529157651,2.80171325421451e-19
"Cvel_19870",-11.3154143036392,8.11319352567328e-19,-6.98155220150551,7.04638422887385e-05
"Cvel_18800",-11.1628556068304,1.61775583549025e-17,-11.3107448636952,9.57448729904038e-19
"Cvel_27953",-11.3075673379069,1.26493982363272e-18,-10.6200662079693,2.48474141600278e-16
